SIFKO,SIFOB,IMEOB
1988,21,Dobrova - Polhov Gradec
1989,21,Dobrova - Polhov Gradec
1990,162,Horjul
1991,162,Horjul
1992,162,Horjul
1993,162,Horjul
1728,61,Ljubljana
2083,95,Preddvor
2084,95,Preddvor
2085,52,Kranj
2144,131,Tržič
2145,131,Tržič
2146,131,Tržič
2147,131,Tržič
2148,131,Tržič
2149,131,Tržič
2150,131,Tržič
2151,102,Radovljica
2152,102,Radovljica
2153,102,Radovljica
2154,102,Radovljica
2155,102,Radovljica
2156,102,Radovljica
2157,102,Radovljica
2158,102,Radovljica
2159,102,Radovljica
2160,102,Radovljica
2161,102,Radovljica
2162,102,Radovljica
2163,102,Radovljica
2164,102,Radovljica
2165,102,Radovljica
2166,102,Radovljica
2167,53,Kranjska Gora
2168,53,Kranjska Gora
2169,53,Kranjska Gora
2170,53,Kranjska Gora
2171,53,Kranjska Gora
2172,41,Jesenice
1732,61,Ljubljana
2098,52,Kranj
2099,82,Naklo
2100,52,Kranj
1720,61,Ljubljana
2101,52,Kranj
2102,52,Kranj
2103,52,Kranj
2104,52,Kranj
2105,52,Kranj
